FECHA;HORA;TEMP;HUM;PNM;DD;FF;NOMBRE
09122021;0;23.70;73.00;1017.40;90;19;AEROPARQUE AERO
09122021;1;23.50;61.00;1017.10;50;26;AEROPARQUE AERO
09122021;0;19.30;79.00;1018.30;360;11;AZUL AERO
09122021;1;17.20;92.00;1018.00;50;11;AZUL AERO
09122021;0;16.00;100.00;1020.40;230;17;BAHIA BLANCA AERO
09122021;1;15.00;100.00;1020.20;230;20;BAHIA BLANCA AERO
09122021;0;16.90;52.00;1552.00;180;6;BARILOCHE AERO
09122021;1;14.90;59.00;1550.00;140;11;BARILOCHE AERO
09122021;0;-6.00;85.00;977.80;20;37;BASE BELGRANO II
09122021;3;-5.10;74.00;979.10;20;35;BASE BELGRANO II
09122021;0;1.70;93.00;1004.30;320;46;BASE CARLINI (EX JUBANY)
09122021;3;1.50;96.00;1002.50;320;43;BASE CARLINI (EX JUBANY)
09122021;0;4.20;63.00;993.10;250;67;BASE ESPERANZA
09122021;3;4.90;61.00;992.70;230;35;BASE ESPERANZA
09122021;0;3.00;73.00;990.90;290;35;BASE MARAMBIO
09122021;1;5.80;67.00;990.90;160;17;BASE MARAMBIO
09122021;6;4.00;80.00;1005.00;340;22;BASE ORCADAS
09122021;9;5.10;67.00;1005.00;320;28;BASE ORCADAS
09122021;0;5.20;63.00;982.00;50;31;BASE SAN MARTIN
09122021;3;5.60;62.00;980.50;320;22;BASE SAN MARTIN
09122021;9;20.50;77.00;1018.00;360;15;BENITO JUAREZ AERO
09122021;12;25.10;59.00;1017.20;360;9;BENITO JUAREZ AERO
09122021;6;16.60;66.00;1514.00;90;15;BERNARDO DE IRIGOYEN AERO
09122021;7;17.60;63.00;1518.00;50;15;BERNARDO DE IRIGOYEN AERO
09122021;6;16.20;90.00;1017.60;0;0;BOLIVAR AERO
09122021;7;16.80;87.00;1018.10;0;0;BOLIVAR AERO
09122021;0;22.70;80.00;1017.20;70;6;BUENOS AIRES OBSERVATORIO
09122021;1;23.50;61.00;1017.30;20;15;BUENOS AIRES OBSERVATORIO
09122021;6;18.60;83.00;1018.20;50;13;CAMPO DE MAYO AERO
09122021;7;19.80;80.00;1018.70;70;15;CAMPO DE MAYO AERO
09122021;0;29.20;50.00;1009.40;360;11;CATAMARCA AERO
09122021;1;26.20;61.00;1009.80;360;19;CATAMARCA AERO
09122021;0;23.50;70.00;1012.90;90;4;CERES AERO
09122021;1;22.60;77.00;1012.10;90;4;CERES AERO
09122021;6;20.40;77.00;1013.60;0;0;CHAMICAL AERO
09122021;7;19.90;81.00;1013.80;0;0;CHAMICAL AERO
